,ratio1,ratio2,ratio3,ratio4,ratio5,status
1761,1.06,1.06,0.06,0.2,0.1,0
1762,1.63,0.47,0.09,0.13,0.07,0
1763,1.34,0.9,0.06,0.26,0.05,0
1764,1.15,0.58,0.03,0.29,0.03,0
1765,1.3,0.05,-0.56,-2.06,-0.71,1
1766,3.0,3.0,0.24,0.19,0.25,0
1767,1.46,1.21,0.02,0.03,0.06,0
1768,5.62,3.23,0.01,-0.01,0.04,0
1769,0.84,0.81,-0.29,-1.67,-0.12,1
1770,1.11,0.43,0.1,0.5,0.09,0
1771,2.37,2.16,0.04,0.11,0.13,0
1772,2.32,2.32,0.04,0.04,0.04,0
1773,1.65,1.38,0.02,0.07,0.06,0
1774,0.28,0.2,0.01,0.01,0.11,0
1775,1.03,1.03,0.05,0.04,0.06,0
1776,1.3,1.3,0.07,0.29,0.06,0
1777,1.03,0.95,0.04,0.77,0.12,1
1778,1.53,0.18,0.04,0.03,0.74,0
1779,1.53,1.04,0.09,0.76,0.09,0
1780,1.15,0.92,0.06,0.08,0.14,0
1781,1.1,0.48,0.05,0.09,0.04,0
1782,1.26,0.75,0.03,0.11,0.09,0
1783,0.87,0.72,0.1,0.55,0.2,0
1784,1.22,0.27,0.0,-0.04,0.02,0
1785,1.2,1.12,0.07,0.84,0.14,0
1786,1.23,1.21,0.09,0.29,0.38,0
1787,1.86,1.27,0.11,0.18,0.12,0
1788,1.18,1.18,0.1,0.38,0.06,0
1789,1.02,1.02,0.01,0.0,0.01,0
1790,1.63,1.27,0.03,0.0,0.01,0
1791,0.99,0.99,0.03,0.4,0.01,0
1792,1.24,1.16,0.06,0.41,0.04,0
1793,0.52,0.52,0.07,0.21,0.08,0
1794,1.1,1.1,0.05,0.05,0.08,0
1795,0.64,0.47,0.07,0.15,0.05,0
1796,1.19,0.96,0.04,0.12,0.05,0
1797,1.11,1.11,0.08,0.01,0.05,0
1798,1.45,1.45,-0.04,-0.15,-0.01,0
1799,1.18,0.5,0.02,-0.47,0.04,0
1800,1.04,0.63,0.03,0.02,0.03,0
1801,0.5,0.5,0.0,0.05,0.05,1
1802,1.32,1.07,0.04,0.03,0.02,0
1803,1.61,0.76,0.02,0.02,0.24,0
1804,1.61,1.61,0.06,0.01,0.1,0
1805,0.26,0.26,0.02,0.04,0.19,0
1806,0.53,0.52,0.01,0.02,0.29,0
1807,0.61,0.54,0.03,0.02,0.1,0
1808,0.67,0.51,0.04,-0.43,0.15,1
1809,0.94,0.31,0.04,0.43,0.02,0
1810,1.66,0.77,0.03,0.03,0.05,0
1811,1.71,1.62,0.09,0.15,0.14,0
1812,2.8,0.83,0.03,0.05,0.07,0
1813,1.56,1.06,0.01,0.01,0.1,0
1814,1.33,1.09,0.03,0.11,0.07,0
1815,1.58,1.41,0.13,0.32,0.15,0
1816,1.36,1.19,0.05,0.13,0.05,0
1817,0.54,0.46,-0.76,-1.04,-0.18,1
1818,0.68,0.68,0.04,0.08,0.5,0
1819,0.79,0.77,-0.03,-0.04,-0.09,0
1820,1.1,0.88,0.02,0.11,0.04,0
1821,1.67,1.6,0.41,0.93,0.22,0
1822,2.26,1.86,0.09,0.1,0.05,0
1823,1.19,0.83,0.03,0.05,0.01,0
1824,1.48,1.44,0.08,0.04,0.04,0
1825,2.06,2.06,0.02,0.01,0.02,0
1826,2.19,1.63,0.33,0.38,0.09,0
1827,0.59,0.58,0.02,0.01,0.08,0
1828,0.89,0.85,0.07,0.86,0.09,0
1829,1.6,1.42,0.32,0.48,0.07,0
1830,2.97,2.42,0.05,0.0,0.06,0
1831,1.0,0.81,0.06,0.8,0.03,0
1832,1.2,1.02,0.05,0.21,0.03,0
1833,3.27,3.27,-0.11,-0.17,-0.11,0
1834,3.34,2.37,0.02,0.04,0.02,0
1835,0.38,0.38,0.03,0.03,0.28,0
1836,2.22,1.81,0.04,0.23,0.1,0
1837,1.51,1.43,0.01,0.0,0.05,0
1838,0.89,0.58,-0.45,-1.11,-0.98,1
1839,0.08,0.08,0.04,0.08,0.46,0
1840,1.0,0.87,0.24,0.89,0.14,0
1841,0.53,0.53,-0.05,-0.2,-0.18,0
1842,0.99,0.99,-0.01,0.03,0.08,0
1843,1.45,0.54,-0.16,-7.28,-0.18,0
1844,1.07,0.98,0.07,0.79,0.06,0
1845,0.97,0.75,0.04,0.19,0.07,0
1846,1.5,1.01,0.03,0.07,0.03,0
1847,2.08,1.73,0.03,0.07,0.04,0
1848,2.95,2.72,0.11,0.13,0.14,0
1849,1.12,1.11,0.16,0.74,0.12,0
1850,1.31,1.23,0.02,0.03,0.02,0
1851,1.59,1.59,0.06,0.1,0.04,0
1852,4.08,0.44,0.01,0.0,0.04,0
1853,0.76,0.76,0.01,0.05,0.01,0
1854,0.8,0.8,0.01,0.04,-0.2,0
1855,1.64,1.33,0.14,0.25,0.05,0
1856,1.07,0.36,0.05,0.23,0.01,0
